weather_main,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,dt,sunrise,sunset
Clouds,1.09,-3.37,-0.57,2.51,1005,92,10000,2.1,90,20,0,0,0,0,1585139700,1585091100,1585130880
Clouds,1.14,-3.23,-0.19,2.05,1005,92,10000,2.1,60,20,0,0,0,0,1585139400,1585091100,1585130880
Clouds,1.05,-3.1,-0.54,1.84,1005,92,10000,2.1,90,20,0,0,0,0,1585140300,1585091100,1585130880
Clouds,1.05,-3.82,-0.24,2.22,1005,92,10000,2.1,70,20,0,0,0,0,1585140300,1585091100,1585130880
Clouds,1.08,-3.45,-0.44,1.91,1005,72,10000,1,90,20,0,0,0,0,1585140900,1585091100,1585130880
Clouds,0.94,-3.4,-0.4,1.59,1005,72,10000,1,80,20,0,0,0,0,1585141200,1585091100,1585130880
Clouds,0.94,-3.68,-0.79,1.66,1005,72,10000,1,80,20,0,0,0,0,1585141200,1585091100,1585130880
Clouds,0.78,-3.34,-0.17,1.47,1005,72,10000,1,80,20,0,0,0,0,1585141800,1585091100,1585130880
Clouds,0.32,-4.3,-0.98,0.87,1005,72,10000,1,60,20,0,0,0,0,1585142100,1585091100,1585130880
Clear,-0.15,-4.54,-1.61,1.18,1005,92,10000,2.1,60,0,0,0,0,0,1585142280,1585091100,1585130880
Clear,-0.15,-4.8,-1.63,1.18,1005,92,10000,2.1,90,0,0,0,0,0,1585142280,1585091100,1585130880
Clear,0.11,-4.19,-1.4,0.81,1005,92,10000,2.1,90,0,0,0,0,0,1585143000,1585091100,1585130880
Clear,0.11,-4.4,-1.24,1.08,1005,92,10000,2.1,80,0,0,0,0,0,1585143000,1585091100,1585130880
Clear,-0.05,-4.15,-1.3,0.82,1005,92,10000,2.1,80,0,0,0,0,0,1585143600,1585091100,1585130880
Clear,-0.05,-4.55,-1.82,0.71,1005,92,10000,2.1,90,0,0,0,0,0,1585143600,1585091100,1585130880
Clear,-0.05,-4.19,-1.77,0.64,1005,92,10000,2.1,90,0,0,0,0,0,1585143600,1585091100,1585130880
