number,available_bike_stands,available_bikes,last_update
79,20,7,1586348676000
69,28,12,1586348539000
25,26,4,1586348740000
51,35,5,1586348952000
37,17,12,1586348972000
59,15,5,1586348712000
95,28,12,1586348558000
94,29,11,1586348901000
105,31,5,1586348547000
36,35,5,1586348979000
93,29,11,1586348545000
22,12,8,1586348637000
50,24,16,1586348739000
110,34,6,1586348530000
12,14,6,1586348452000
34,14,16,1586348833000
78,8,31,1586348820000
2,7,13,1586348831000
75,32,8,1586348910000
111,33,7,1586348821000
26,18,2,1586348684000
65,17,23,1586348431000
15,7,9,1586348395000
86,23,15,1586348587000
10,3,13,1586348754000
100,9,16,1586348471000
24,8,12,1586348910000
64,33,7,1586348606000
109,13,16,1586348790000
85,24,11,1586348496000
107,37,3,1586348720000
33,9,14,1586348908000
44,26,4,1586348854000
89,23,17,1586348813000
57,19,4,1586348945000
80,26,14,1586348846000
41,18,2,1586348445000
3,15,5,1586348963000
40,16,5,1586348749000
29,0,29,1586348664000
103,32,8,1586348984000
28,23,7,1586348874000
39,14,6,1586348418000
83,32,8,1586348432000
92,25,15,1586348498000
21,20,10,1586348593000
88,19,11,1586348792000
42,17,13,1586449381000
30,16,4,1586449015000
54,31,2,1586448776000
108,32,8,1586449135000
56,33,7,1586448958000
6,8,12,1586449239000
18,16,14,1586449314000
32,28,2,1586449244000
52,16,16,1586449032000
48,22,17,1586449058000
13,21,9,1586449349000
43,21,9,1586449095000
81,33,7,1586448856000
31,2,18,1586449258000
98,28,12,1586449177000
23,16,14,1586448901000
106,31,9,1586449271000
112,21,9,1586449208000
68,31,9,1586449086000
74,17,13,1586448842000
87,27,11,1586449227000
84,24,6,1586449144000
90,31,9,1586448778000
11,20,10,1586449139000
17,12,8,1586448783000
45,15,15,1586449355000
114,31,9,1586449347000
72,20,11,1586449048000
63,26,9,1586449198000
113,32,8,1586449011000
91,17,13,1586449184000
99,26,4,1586449018000
9,4,20,1586449351000
67,38,2,1586449264000
116,24,6,1586449239000
55,34,2,1586449303000
62,29,11,1586449003000
5,33,7,1586449171000
97,33,7,1586448947000
61,20,5,1586449108000
77,10,19,1586449363000
73,22,8,1586448890000
4,15,5,1586449320000
49,24,16,1586448885000
19,15,15,1586448898000
7,20,9,1586448816000
102,23,17,1586448980000
38,28,12,1586449189000
53,31,9,1586449007000
58,24,16,1586449132000
66,25,15,1586448888000
104,25,15,1586449207000
101,28,2,1586449222000
115,19,11,1586448916000
47,37,3,1586448891000
117,32,8,1586448820000
8,14,16,1586449154000
27,11,9,1586449351000
16,12,8,1586448947000
96,16,14,1586449014000
82,20,2,1586448962000
76,33,5,1586449085000
71,38,2,1586448980000
79,18,9,1586449064000
69,23,17,1586448874000
25,23,7,1586449005000
51,36,4,1586449174000
37,21,9,1586449200000
59,16,4,1586449101000
95,25,15,1586449343000
94,31,9,1586449116000
105,26,10,1586448807000
36,35,5,1586449255000
93,29,11,1586449363000
22,13,7,1586448782000
50,26,14,1586449029000
110,37,3,1586449257000
12,8,12,1586449323000
34,17,12,1586449365000
78,9,31,1586449278000
2,16,4,1586449376000
75,26,14,1586449101000
111,35,5,1586448935000
26,9,11,1586449071000
65,24,16,1586449228000
15,10,6,1586448909000
86,27,10,1586449053000
10,10,6,1586448986000
100,1,24,1586448980000
24,17,3,1586449281000
64,20,20,1586449171000
109,16,13,1586448960000
85,31,4,1586448915000
107,38,2,1586448856000
33,11,12,1586449070000
44,25,5,1586449144000
89,31,9,1586448940000
57,16,7,1586449036000
80,30,10,1586448909000
41,12,8,1586448910000
3,9,11,1586449272000
40,10,11,1586449145000
29,19,10,1586448899000
103,31,9,1586449102000
28,23,7,1586449114000
39,20,0,1586449230000
83,30,10,1586449067000
92,21,19,1586449368000
21,25,5,1586449046000
88,22,8,1586449351000
42,11,19,1586603685000
30,14,6,1586603419000
54,25,8,1586603375000
108,37,3,1586603274000
56,22,18,1586603630000
6,19,1,1586603595000
18,23,7,1586603471000
32,17,13,1586603520000
52,25,7,1586603129000
48,27,12,1586603108000
13,22,8,1586603176000
43,21,9,1586603689000
81,39,1,1586603576000
31,6,14,1586603595000
98,33,7,1586603396000
23,18,12,1586603221000
106,34,6,1586603097000
112,25,5,1586603280000
68,35,5,1586603139000
74,18,12,1586603180000
87,25,13,1586603397000
84,26,4,1586603679000
90,34,6,1586603129000
11,19,11,1586603106000
17,12,8,1586603271000
45,25,5,1586603338000
114,32,8,1586603699000
72,19,12,1586603684000
63,25,10,1586603518000
113,30,10,1586603418000
91,16,14,1586603634000
99,21,9,1586603119000
9,21,3,1586603536000
67,23,17,1586603187000
116,22,8,1586603613000
55,35,1,1586603296000
62,30,10,1586603406000
5,32,8,1586603579000
97,28,12,1586603115000
61,19,6,1586603234000
77,17,12,1586603250000
73,24,6,1586603682000
4,13,7,1586603410000
49,24,16,1586603540000
19,16,14,1586603325000
7,19,10,1586603453000
102,23,17,1586603417000
38,40,0,1586603637000
53,29,11,1586603255000
58,14,26,1586603699000
66,26,14,1586603158000
104,24,16,1586603428000
101,25,5,1586603573000
115,21,9,1586603549000
47,30,10,1586603480000
117,29,11,1586603318000
8,22,8,1586603525000
27,20,0,1586603333000
16,15,5,1586603337000
96,18,12,1586603391000
82,19,3,1586603516000
76,38,0,1586603600000
71,35,5,1586603656000
79,25,2,1586603279000
69,9,31,1586603683000
25,21,9,1586603396000
51,34,6,1586603438000
37,23,7,1586603574000
59,15,5,1586603178000
95,17,23,1586603248000
94,31,9,1586603232000
105,28,8,1586603408000
36,32,8,1586603241000
93,34,6,1586603214000
22,5,15,1586603241000
50,31,9,1586603268000
110,30,10,1586603402000
12,9,11,1586603637000
34,20,10,1586603449000
78,6,34,1586603701000
2,18,2,1586603597000
75,31,9,1586603158000
111,31,9,1586603553000
26,12,8,1586603641000
65,31,9,1586603173000
15,16,0,1586603254000
86,29,9,1586603574000
10,3,13,1586603549000
100,1,24,1586603649000
24,17,3,1586603199000
64,30,10,1586603489000
109,14,15,1586603657000
85,24,11,1586603607000
107,31,9,1586603643000
33,7,16,1586603212000
44,23,7,1586603307000
89,33,7,1586603126000
57,17,6,1586603120000
80,31,9,1586603308000
41,19,1,1586603101000
3,15,5,1586603506000
40,13,8,1586603331000
29,12,17,1586603432000
103,32,8,1586603300000
28,25,5,1586603570000
39,19,1,1586603107000
83,18,22,1586603186000
92,9,31,1586603511000
21,22,8,1586603677000
88,16,14,1586603095000
42,10,20,1586805325000
30,17,3,1586805185000
54,23,10,1586805311000
108,28,12,1586805612000
56,30,10,1586805245000
6,17,3,1586805604000
18,29,1,1586805236000
32,20,10,1586805448000
52,26,6,1586805499000
48,26,13,1586805753000
13,24,6,1586805722000
43,19,11,1586805561000
81,32,8,1586805379000
31,18,2,1586805591000
98,32,8,1586805377000
23,23,7,1586805551000
106,35,5,1586805286000
112,4,26,1586805259000
68,29,11,1586805440000
74,16,14,1586805743000
87,30,8,1586805377000
84,22,8,1586805522000
90,33,7,1586805429000
11,20,10,1586805297000
17,12,8,1586805686000
45,28,2,1586805515000
114,29,11,1586805260000
72,28,3,1586805240000
63,22,13,1586805646000
113,34,6,1586805591000
91,17,13,1586805562000
99,23,7,1586805635000
9,20,4,1586805548000
67,32,8,1586805311000
116,26,4,1586805661000
55,32,4,1586805379000
62,25,15,1586805594000
5,30,10,1586805321000
97,33,7,1586805710000
61,18,7,1586805518000
77,26,2,1586805467000
73,25,5,1586805493000
4,10,10,1586805459000
49,20,20,1586805243000
19,9,21,1586805769000
7,24,5,1586805383000
102,27,13,1586805219000
38,18,22,1586805709000
53,32,8,1586805453000
58,31,9,1586805352000
66,15,25,1586805554000
104,29,11,1586805763000
101,18,12,1586805627000
115,19,11,1586805256000
47,30,10,1586805579000
117,29,11,1586805216000
8,19,11,1586805277000
27,19,1,1586805699000
16,16,4,1586805207000
96,16,14,1586805743000
82,11,11,1586805376000
76,37,1,1586805757000
71,36,4,1586805490000
79,15,12,1586805361000
69,13,27,1586805776000
25,19,11,1586805674000
51,35,5,1586805186000
37,23,7,1586805422000
59,14,6,1586805515000
95,24,16,1586805427000
94,31,9,1586805617000
105,28,8,1586805578000
36,27,13,1586805520000
93,33,7,1586805585000
22,10,10,1586805293000
50,32,8,1586805474000
110,35,5,1586805721000
12,10,10,1586805312000
34,10,20,1586805610000
78,13,27,1586805478000
2,20,0,1586805687000
75,36,4,1586805662000
111,32,8,1586805186000
26,9,11,1586805304000
65,23,17,1586805292000
15,13,3,1586805513000
86,30,8,1586805665000
10,1,15,1586805264000
100,12,13,1586805478000
24,10,10,1586805703000
64,33,7,1586805545000
109,11,18,1586805685000
85,21,14,1586805679000
107,38,2,1586805533000
33,5,18,1586805410000
44,19,11,1586805248000
89,31,9,1586805514000
57,16,7,1586805772000
80,22,18,1586805713000
41,19,1,1586805693000
3,17,3,1586805560000
40,13,8,1586805265000
29,0,29,1586805776000
103,32,8,1586805364000
28,16,14,1586805675000
39,18,2,1586805591000
83,23,17,1586805645000
92,26,14,1586805207000
21,22,8,1586805747000
88,8,22,1586805605000
42,10,20,1586856297000
30,18,2,1586856127000
54,21,10,1586856412000
108,33,7,1586856464000
56,31,9,1586856234000
6,19,1,1586856481000
18,28,2,1586856521000
32,16,14,1586856402000
52,24,7,1586856400000
48,29,9,1586856440000
13,24,4,1586856102000
